booking_id,full_name,email,phone,institution,booking_date,start_time,end_time,room_type,participants,purpose,description,additional_facilities,status,created_at,updated_at
FST-20241207-093000-0001,Ahmad Rizki,ahmad.rizki@student.uinjkt.ac.id,+62 812-3456-7890,FST UIN Jakarta,2024-12-10,09:00:00,11:00:00,ruang-kelas-biasa,11-25,kuliah,Kuliah Matematika Diskrit Kelas A,"[""projector"",""whiteboard""]",pending,2024-12-07T08:30:00Z,
FST-20241207-093015-0002,Siti Nurhaliza,siti.nurhaliza@uinjkt.ac.id,+62 813-9876-5432,FST UIN Jakarta,2024-12-12,13:00:00,16:00:00,ruang-teater-besar,50+,seminar,Seminar Nasional Teknologi Informasi 2024,"[""projector"",""soundSystem"",""internet"",""catering""]",approved,2024-12-06T14:20:00Z,2024-12-06T16:00:00Z
FST-20241207-093030-0003,Muhammad Irfan,irfan.m@gmail.com,+62 856-1234-5678,Himpunan Mahasiswa Informatika,2024-12-09,08:00:00,10:00:00,ruang-meeting,1-10,rapat,Rapat koordinasi kegiatan kemahasiswaan,"[""whiteboard"",""ac""]",rejected,2024-12-05T10:15:00Z,2024-12-05T15:30:00Z
FST-20241207-093045-0004,Dewi Lestari,dewi.lestari@lecturer.uinjkt.ac.id,+62 821-5555-6666,FST UIN Jakarta,2024-12-15,14:00:00,17:00:00,ruang-kelas-besar,26-50,workshop,Workshop Python untuk Data Science,"[""projector"",""ac"",""internet""]",pending,2024-12-07T09:00:00Z,
FST-20241207-093100-0005,Budi Santoso,budi.santoso@external.com,+62 878-7777-8888,PT Teknologi Nusantara,2024-12-11,10:00:00,12:00:00,ruang-teater-double-proyektor,26-50,presentasi,Presentasi Kerja Sama Industri dan Kampus,"[""projector"",""soundSystem"",""internet""]",approved,2024-12-04T11:45:00Z,2024-12-04T14:00:00Z
FST-20241207-093115-0006,Rina Kusuma,rina.kusuma@student.uinjkt.ac.id,+62 819-2222-3333,FST UIN Jakarta,2024-12-13,08:00:00,10:00:00,ruang-kelas-biasa,11-25,lainnya,Latihan presentasi tugas akhir,"[""projector""]",pending,2024-12-07T07:30:00Z,
FST-20241207-093130-0007,Fajar Nugroho,fajar.n@student.uinjkt.ac.id,+62 857-1111-2222,FST UIN Jakarta,2024-12-14,09:00:00,12:00:00,lab-komputer,11-25,kuliah,Praktikum Pemrograman Web,"[""internet"",""ac""]",approved,2024-12-07T10:00:00Z,2024-12-07T11:00:00Z
FST-20241207-093145-0008,Lisa Permata,lisa.permata@uinjkt.ac.id,+62 822-3333-4444,FST UIN Jakarta,2024-12-16,13:00:00,15:00:00,lab-mikrobiologi,11-25,kuliah,Praktikum Mikrobiologi Dasar,"[""ac""]",approved,2024-12-07T11:30:00Z,2024-12-07T12:00:00Z
FST-20241207-093200-0009,Hendra Wijaya,hendra.w@student.uinjkt.ac.id,+62 859-4444-5555,FST UIN Jakarta,2024-12-17,10:00:00,12:00:00,lab-komputer,11-25,workshop,Workshop Artificial Intelligence,"[""internet"",""projector"",""ac""]",pending,2024-12-07T12:00:00Z,
FST-20241207-093215-0010,Diana Putri,diana.putri@uinjkt.ac.id,+62 838-6666-7777,FST UIN Jakarta,2024-12-18,08:00:00,11:00:00,lab-mikrobiologi,11-25,kuliah,Praktikum Bioteknologi,"[""ac""]",pending,2024-12-07T12:30:00Z,

